 2017-01-01 , R150+  , R400+, B600+	
 2017-01-03 , R831+  , R400+, B600+	
 2017-01-10 , R831+, R400+, R150+ 
 2017-01-10 , R831+, R400+, B600+ 
 2017-01-15 , R150+  , R400+, B600+	
 2017-03-07 , B1200+ , R400+, B600+	
 2017-03-16 ,R150+ , R400+, B600+	
 2017-03-23 , R831+  , R400+, B600+	
 2017-04-10 , R150+  , R400+, B600+	
 2017-04-11 , B1200+ , R400+, B600+	
 2017-04-13 ,R831+ , R400+, B600+	
 2017-04-17 , B1200+ , R400+, B600+	
 2017-04-18 ,R150+ , R400+, B600+	
 2017-04-28 , R831+  , R400+, B600+	
 2017-05-15 , R150+  , R400+, B600+	
 2017-06-09 , B1200+ , R400+, B600+	
 2017-06-15 , B1200+ , R831+  , B600+	
 2017-06-21 ,R150+ , R831+, B600+	
 2017-06-22 , R400+  , R831+, B600+	
 2017-06-23 , R400+, B1200+ , B600+	
 2017-06-27 , R400+,R831+ , B600+	
 2017-08-31 , R400+, B1200+ , B600+	
 2017-09-08 , R400+,R831+ , B600+	
 2017-09-12 , R400+, B1200+ , B600+	
 2017-09-25 , R400+,R831+ , B600+	
 2017-10-20 , R831+  , R400+, B600+	
 2017-10-22 , B1200+ , R400+, B600+	
 2017-10-26 ,R150+ , R400+, B600+	
 2017-10-31 , B1200+ , R400+, B600+	
 2017-11-02 ,R150+ , R400+, B600+	
 2017-11-03 , B1200+ , R400+, B600+	
 2017-11-08 , B1200+ , R150+  , B600+	
 2017-11-09 , B1200+ , R400+  , B600+	
 2017-11-13 ,R150+ , R400+, B600+	
 2017-11-14 , B1200+ , R400+, B600+	
 2017-11-15 ,R150+ , R400+, B600+	
 2017-11-17 , B1200+ , R400+, B600+	
 2017-11-21 ,R150+ , R400+, B600+	
 2017-11-29 , R150+, B600+  , R400+ 
 2017-12-01 , B1200+ , B600+, R400+	
 2017-12-05 , R150+  , B600+, R400+	
 2017-12-21 , R831+  , B600+, R400+	
 2018-01-09 , B1200+ , B600+, R400+	
 2018-01-18 , R400+, B600+, R831+ 
 2018-01-23 , R400+, R831+  , B600+ 
 2018-01-25 , R400+, R150+  , B600+	
 2018-02-12 , R400+, R150+, R831+ 
 2018-02-21 , R400+, R150+, B600+ 
 2018-02-26 , B600+  , R150+, R400+ 
 2018-02-28 , B600+, R831+  , R400+	
 2018-03-05 , B600+, R150+  , R400+	
 2018-03-20 , B600+, R831+, R150+ 
 2018-03-20 , B600+, R831+, R400+ 
 2018-03-21 , B600+, R831+, B1200+
 2018-03-21 , B600+, R831+,R400+
 2018-03-29 , B600+, B1200+ , R400+	
 2018-04-06 , B600+,R831+ , R400+	
 2018-04-09 , B600+, R150+  , R400+	
 2018-04-19 , B600+, R150+, B1200+
 2018-04-19 , B600+, R150+,R400+
 2018-05-07 , B600+, R831+  , R400+	
 2018-05-15 , B600+, R600+  , R400+	
 2018-05-17 , B600+, R150+  , R400+	
 2018-05-30 , B600+, R831+  , R400+	
 2018-06-08 , B600+, R150+  , R400+	
 2018-06-12 , B600+, B1200+ , R400+	
 2018-06-12 , B600+,R150+ , R400+	
 2018-06-13 , B600+, B1200+ , R400+	
 2018-06-13 , B600+,R150+ , R400+	
 2018-06-28 , B600+, R831+  , R400+	
 2018-07-03 , B600+, B1200+ , R400+	
 2018-07-05 , B600+,R831+ , R400+	
 2018-07-13 , B600+, R150+  , R400+	
 2018-07-16 , B600+, R831+  , R400+	
 2018-07-17 , B600+, R150+  , R400+	
 2018-07-20 , B600+, B1200+ , R400+	
 2018-07-23 , B600+,R150+ , R400+	
 2018-07-27 , B600+, B1200+ , R400+	
 2018-08-08 , B600+,R831+ , R400+	
 2018-08-14 , B600+, B1200+ , R400+	
 2018-08-30 , B600+,R831+ , R400+	
 2018-09-13 , B600+, B1200+ , R400+	
 2018-10-01 , B600+,R831+ , R400+	
 2018-10-17 , B600+, B1200+ , R400+	
 2018-10-31 , B600+,R150+ , R400+	
 2018-11-07 , B1200+ , R150+, R400+	
 2018-11-09 , B1200+ , R150+, R400+	
 2018-11-16 , B600+, B1200+ , R400+	
 2018-11-23 , B600+,R831+ , R400+	
 2018-11-29 , B600+, R150+  , R400+	
 2018-11-30 , B600+, B1200+ , R400+	
 2018-12-03 , B600+,R150+ , R400+	
 2018-12-17 , B600+, B1200+ , R400+	
 2018-12-21 , B600+,R831+ , R400+	
 2018-12-31 , B600+, B1200+ , R400+	
 2019-01-04 , B600+, R150+  , R400+	
 2019-01-10 , B600+, R831+  , R400+	
 2019-01-23 , B600+, B1200+ , R400+	
 2019-01-25 , B600+,R150+ , R400+	
 2019-03-06 , B600+, R831+  , R400+	
 2019-03-08 , B600+, R150+  , R400+	
 2019-03-14 , B600+, R831+  , R400+	
 2019-03-18 , B600+, R150+  , R400+	
 2019-04-08 , B600+, R831+  , R400+	
 2019-04-09 , B600+, R150+  , R400+	
 2019-04-16 , B600+, R831+  , R400+	
 2019-04-22 , B600+, R150+  , R400+	
 2019-05-01 , B600+, R831+  , R400+	
 2019-05-07 , B600+, R150+  , R400+	
 2019-05-20 , B600+, R831+  , R400+	
 2019-05-28 , B600+, R150+  , R400+	
 2019-06-17 , B600+, R831+  , R400+	
 2019-06-25 , B600+, R150+  , R400+	
 2019-06-28 , B600+, R831+  , R400+	
 2019-07-03 , B600+, B1200+ , R400+	
 2019-07-08 , B600+,R150+ , R400+	
 2019-07-12 , B600+, R831+  , R400+	
 2019-08-28 , B600+, R150+  , R400+	
 2019-09-06 , B600+, R831+  , R400+	
 2019-09-27 , B600+, B1200+ , R400+	
 2019-09-30 , B600+,R831+ , R400+	
 2019-12-02 , B600+, R150+  , R400+	
 2019-12-10 , B600+, R831+  , R400+	
 2019-12-24 , B600+, R150+  , R400+	
 2019-12-27 , B600+, B1200+ , R831+ 
 2020-01-02 , B600+, B1200+ , R400+ 
 2020-01-14 , B600+,R150+ , R400+	
 2020-01-22 , B600+, B1200+ , R400+	
 2020-01-23 , B600+,R831+ , R400+	
 2020-01-28 , B600+, R150+  , R400+	
 2020-02-04 , B600+, R831+  , R400+	
 2020-03-12 , B600+, R150+  , R400+	
 2020-05-22 , B600+, R831+  , R400+	
 2020-06-12 , B600+, R150+  , R400+	
 2020-06-15 , B600+, R831+  , R400+	
