# Time Accounting Summary Report for Gemini South 2019A
# Generated at 27 Jul 2021 12:58:53 GMT
# Columns: UTC Date,Program ID,Instrument,PRG,CAL,Total,Account,Comment
20190731,GS-2019A-Q-107,GMOS-S,0.22,0.00,0.22,CL,[9] MOS: Acq starting with mask out of the beam
20190731,GS-2019A-Q-107,GMOS-S,2.24,0.01,2.25,CL,[10] MOS: Science with GCALflats
20190731,GS-2019B-Q-129,GMOS-S,0.03,0.00,0.03,BR,[26] Longslit: Acq (point source)
20190731,GS-2019B-Q-129,GMOS-S,0.12,0.00,0.12,CL,[26] Longslit: Acq (point source)
20190731,GS-2019B-Q-129,GMOS-S,0.26,0.00,0.26,BR,[27] Longslit: Science with GCALflats
20190731,GS-2019B-Q-129,GMOS-S,1.05,0.01,1.06,CL,[27] Longslit: Science with GCALflats
20190731,GS-2019B-Q-129,GMOS-S,0.02,0.00,0.02,BR,[40] Longslit: Flux Standard Acq (point source)
20190731,GS-2019B-Q-129,GMOS-S,0.10,0.00,0.10,CL,[40] Longslit: Flux Standard Acq (point source)
20190731,GS-2019B-Q-129,GMOS-S,0.02,0.00,0.02,BR,[41] Longslit: Flux Standard with GCALflats
20190731,GS-2019B-Q-129,GMOS-S,0.09,0.00,0.09,CL,[41] Longslit: Flux Standard with GCALflats
20190731,GS-2019B-Q-210,GMOS-S,0.91,0.00,0.91,AR,[20] Imaging
20190731,GS-2019B-Q-211,GMOS-S,0.24,0.00,0.24,CL,[46] IFU: Acq
20190731,GS-2019B-Q-211,GMOS-S,1.70,0.21,1.91,CL,[47] IFU : Science with GCalflats
20190731,GS-2019B-Q-301,GMOS-S,0.08,0.00,0.08,US,[155] Longslit: Acq (point source)  -copy[8]
20190731,GS-2019B-Q-301,GMOS-S,0.10,0.01,0.12,US,[9] Longslit: Science with GCALflats
20190731,GS-2019B-Q-401,GMOS-S,0.20,0.00,0.20,AR,[41] Longslit: Acq (point source)
20190731,GS-2019B-Q-401,GMOS-S,0.82,0.01,0.83,AR,[42] Longslit: Science with GCALflats
20190730,GS-2019A-DD-202,GMOS-S,0.50,0.00,0.50,DD,[15] GMOS-S: Repeat of usable OIII steps in [2]
20190730,GS-2019A-FT-207,GMOS-S,0.13,0.00,0.13,JP,[23] Longslit: Acq (point source)
20190730,GS-2019A-FT-207,GMOS-S,1.15,0.09,1.23,JP,[24] Longslit: Science with GCALflats
20190730,GS-2019A-Q-124,GMOS-S,0.79,0.00,0.79,US,[29] Imaging
20190730,GS-2019A-Q-124,GMOS-S,0.85,0.00,0.85,US,[31] Imaging
20190730,GS-2019A-Q-124,GMOS-S,1.09,0.00,1.09,US,[35] Imaging
20190730,GS-2019A-Q-124,GMOS-S,0.89,0.00,0.89,US,[36] Imaging
