HST,UT,IQ,CC,WV,Notes
2025-07-01,2025-07-02,ANY,ANY,,closed initially
2025-07-02,2025-07-03,na,na,,
2025-07-03,2025-07-04,70,50,,
2025-07-04,2025-07-05,70,80,,
2025-07-05,2025-07-06,20,80,ANY,
2025-07-06,2025-07-07,ANY,50,80,closed initially
2025-07-07,2025-07-08,85,50,,
2025-07-08,2025-07-09,85,50,,closed initially
2025-07-09,2025-07-10,ANY,80,50,
2025-07-10,2025-07-11,20,80,,
2025-07-11,2025-07-12,70,70,80,
2025-07-12,2025-07-13,20,80,,
2025-07-13,2025-07-14,85,80,,
2025-07-14,2025-07-15,85,80,,closed initially
2025-07-15,2025-07-16,70,80,,
2025-07-16,2025-07-17,85,70,50,
2025-07-17,2025-07-18,70,70,,closed initially
2025-07-18,2025-07-19,85,70,,
2025-07-19,2025-07-20,70,80,,
2025-07-20,2025-07-21,85,80,,closed initially
2025-07-21,2025-07-22,20,50,,
2025-07-22,2025-07-23,70,50,,
2025-07-23,2025-07-24,70,70,,
2025-07-24,2025-07-25,85,70,,
2025-07-25,2025-07-26,70,50,,
2025-07-26,2025-07-27,na,na,,
2025-07-27,2025-07-28,70,70,,
2025-07-28,2025-07-29,70,50,,
2025-07-29,2025-07-30,70,80,,
2025-07-30,2025-07-31,70,70,,
2025-07-31,2025-08-01,85,70,ANY,
2025-08-01,2025-08-02,70,50,,
2025-08-02,2025-08-03,70,70,,
2025-08-03,2025-08-04,85,80,,
2025-08-04,2025-08-05,70,70,,
2025-08-05,2025-08-06,70,50,,
2025-08-06,2025-08-07,70,50,,
2025-08-07,2025-08-08,85,70,,
2025-08-08,2025-08-09,na,na,,
2025-08-09,2025-08-10,85,80,,closed initially
2025-08-10,2025-08-11,20,70,,
2025-08-11,2025-08-12,ANY,50,,
2025-08-12,2025-08-13,85,50,ANY,
2025-08-13,2025-08-14,85,70,,
2025-08-14,2025-08-15,na,na,,
2025-08-15,2025-08-16,70,70,,closed initially
2025-08-16,2025-08-17,20,70,,
2025-08-17,2025-08-18,70,50,,
2025-08-18,2025-08-19,na,na,,
2025-08-19,2025-08-20,ANY,ANY,,closed initially
2025-08-20,2025-08-21,85,70,ANY,
2025-08-21,2025-08-22,70,70,80,
2025-08-22,2025-08-23,na,na,,
2025-08-23,2025-08-24,na,na,,
2025-08-24,2025-08-25,na,na,,
2025-08-25,2025-08-26,na,na,,
2025-08-26,2025-08-27,na,na,,
2025-08-27,2025-08-28,na,na,,
2025-08-28,2025-08-29,na,na,,
2025-08-29,2025-08-30,70,70,,
2025-08-30,2025-08-31,20,50,,
2025-08-31,2025-09-01,70,50,,
