CST,UT,IQ,CC,WV,Notes
2025-06-30,2025-07-01,ANY,80,,
2025-07-01,2025-07-02,ANY,ANY,,
2025-07-02,2025-07-03,ANY,ANY,,
2025-07-03,2025-07-04,ANY,ANY,,
2025-07-04,2025-07-05,ANY,ANY,,
2025-07-05,2025-07-06,ANY,50,,
2025-07-06,2025-07-07,ANY,50,,
2025-07-07,2025-07-08,85,50,,
2025-07-08,2025-07-09,85,50,,
2025-07-09,2025-07-10,20,50,,
2025-07-10,2025-07-11,85,70,,
2025-07-11,2025-07-12,70,50,,
2025-07-12,2025-07-13,70,70,,
2025-07-13,2025-07-14,70,50,,
2025-07-14,2025-07-15,70,50,,
2025-07-15,2025-07-16,ANY,ANY,,
2025-07-16,2025-07-17,70,50,,
2025-07-17,2025-07-18,ANY,ANY,,
2025-07-18,2025-07-19,ANY,ANY,,
2025-07-19,2025-07-20,ANY,ANY,,
2025-07-20,2025-07-21,20,50,,
2025-07-21,2025-07-22,ANY,ANY,,
2025-07-22,2025-07-23,ANY,80,,
2025-07-23,2025-07-24,ANY,80,,
2025-07-24,2025-07-25,85,50,,
2025-07-25,2025-07-26,ANY,50,,
2025-07-26,2025-07-27,ANY,ANY,,
2025-07-27,2025-07-28,ANY,ANY,,
2025-07-28,2025-07-29,ANY,ANY,,
2025-07-29,2025-07-30,85,80,,
2025-07-30,2025-07-31,85,70,,
2025-07-31,2025-08-01,85,80,,
2025-08-01,2025-08-02,ANY,50,,
2025-08-02,2025-08-03,ANY,ANY,,
2025-08-03,2025-08-04,85,50,,
2025-08-04,2025-08-05,70,50,,
2025-08-05,2025-08-06,ANY,ANY,,
2025-08-06,2025-08-07,ANY,50,,
2025-08-07,2025-08-08,70,50,,
2025-08-08,2025-08-09,85,70,,
2025-08-09,2025-08-10,70,50,,
2025-08-10,2025-08-11,70,50,,
2025-08-11,2025-08-12,70,50,,
2025-08-12,2025-08-13,ANY,ANY,,
2025-08-13,2025-08-14,85,80,,
2025-08-14,2025-08-15,70,50,,
2025-08-15,2025-08-16,70,50,,
2025-08-16,2025-08-17,70,50,,
2025-08-17,2025-08-18,ANY,50,,
