 2017-01-01 , B600+, R400+, B1200+
 2017-01-06 , B600+, R400+, R831+
 2017-01-12 , B600+, R400+, R150+ 
 2017-02-01 , B600+, R400+, B1200+
 2017-02-10 , B600+, R400+, R831+
 2017-02-16 , B600+, R400+, R150+ 
 2017-03-06 , B600+, R400+, R831+ 
 2017-04-10 , B600+, R400+, R150+ 
 2017-05-05 , R831+  , R400+, B600+
 2017-05-26 , R150+  , R400+, B600+
 2017-05-30 , B1200+ , R400+, B600+
 2017-06-20 , R150+  , R400+, B600+
 2017-06-30 , R831+  , R400+, B600+
 2017-07-13 , B1200+ , R400+, B600+
 2017-07-21 , R831+ , R400+, B600+
 2017-07-24 , B1200+ , R400+, B600+
 2017-08-04 , R831+ , R400+, B600+
 2017-08-08 , R150+  , R400+, B600+
 2017-08-16 , B1200+ , R400+, B600+
 2017-08-25 , R831+ , R400+, B600+
 2017-08-29 , B1200+ , R400+, B600+
 2017-09-22 , R831+ , R400+, B600+
 2017-09-28 , R150+  , R400+, B600+
 2017-10-17 , R831+  , R400+, B600+
 2017-10-31 , R150+  , R400+, B600+
 2017-11-02 , B1200+ , R400+, B600+
 2017-11-10 , R150+ , R400+, B600+
 2017-11-23 , R831+  , R400+, B600+
 2017-12-18 , B1200+ , R400+, B600+
 2017-12-22 , R831+ , R400+, B600+
 2017-12-26 , B1200+ , R400+, B600+
 2017-12-28 , R150+ , R400+, B600+
 2018-02-01 , R831+  , R400+, B600+
 2018-03-05 , B1200+ , R400+, B600+
 2018-03-13 , R831+ , R400+, B600+
 2018-03-19 , R150+  , R400+, B600+
 2018-03-22 , B1200+ , R400+, B600+
 2018-03-28 , R831+ , R400+, B600+
 2018-03-29 , B1200+ , R400+, B600+
 2018-04-11 , R831+ , R400+, B600+
 2018-04-13 , B1200+ , R400+, B600+
 2018-04-19 , R831+ , R400+, B600+
 2018-04-26 , R150+  , R400+, B600+
 2018-05-14 , B1200+ , R400+, B600+
 2018-06-06 , R150+ , R400+, B600+
 2018-07-12 , R831+  , R400+, B600+
 2018-07-13 , R150+  , R400+, B600+
 2018-08-29 , B1200+ , R400+, B600+
 2018-09-03 , R150+ , R400+, B600+
 2018-09-24 , R831+  , R400+, B600+
 2018-10-02 , R150+  , R400+, B600+
 2018-10-17 , B1200+ , R400+, B600+
 2018-10-26 , R150+ , R400+, B600+
 2018-11-05 , R831+  , R400+, B600+
 2018-12-17 , B1200+ , R400+, B600+
 2018-12-26 , R831+ , R400+, B600+
 2018-12-30 , R150+  , R400+, B600+
 2019-01-04 , B1200+ , R400+, B600+
 2019-01-09 , R150+ , R400+, B600+
 2019-01-17 , R831+  , R400+, B600+
 2019-01-28 , R150+  , R400+, B600+
 2019-01-29 , R831+  , R400+, B600+
 2019-02-05 , R150+  , R400+, B600+
 2019-02-13 , R150+, B1200+ , B600+
 2019-02-15 , R150+, R400+ , B600+
 2019-03-04 , R831+  , R400+, B600+
 2019-03-18 , B1200+ , R400+, B600+
 2019-03-25 , R831+ , R400+, B600+
 2019-03-28 , B1200+ , R400+, B600+
 2019-04-10 , R831+ , R400+, B600+
 2019-04-24 , B1200+ , R400+, B600+
 2019-04-26 , R831+ , R400+, B600+
 2019-05-03 , B1200+ , R400+, B600+
 2019-05-09 , R831+ , R400+, B600+
 2019-05-13 , B1200+ , R400+, B600+
 2019-05-23 , R831+ , R400+, B600+
 2019-05-27 , B1200+ , R400+, B600+
 2019-05-31 , R831+ , R400+, B600+
 2019-06-05 , B1200+ , R400+, B600+
 2019-06-20 , R831+ , R400+, B600+
 2019-06-25 , R150+  , R400+, B600+
 2019-06-28 , R831+  , R400+, B600+
 2019-07-01 , R150+  , R400+, B600+
 2019-07-08 , B1200+ , R400+, B600+
 2019-07-15 , R150+ , R400+, B600+
 2019-07-19 , B1200+ , R400+, B600+
 2019-07-29 , R150+ , R400+, B600+
 2019-08-05 , R831+  , R400+, B600+
 2019-09-01 , R150+  , R400+, B600+
 2019-10-03 , R831+  , R400+, B600+
 2019-10-04 , R150+  , R400+, B600+
 2019-11-08 , R831+  , R400+, B600+
 2019-11-14 , R150+  , R400+, B600+
 2019-12-03 , R831+  , R400+, B600+
 2019-12-30 , R150+  , R400+, B600+
 2020-01-17 , R831+  , R400+, B600+
 2020-01-21 , R150+  , R400+, B600+
 2020-01-24 , R831+  , R400+, B600+
 2020-02-17 , R150+  , R400+, B600+
 2020-02-21 , R150+, B1200+ , B600+
 2020-02-24 , R400+  , B1200+ , B600+
 2020-02-27 , R400+, R831+ , B600+
 2020-03-05 , R400+, B1200+ , B600+
 2020-03-11 , R400+, R831+ , B600+
