 2024-08-01 , B480+         , B1200+ , R400+        
 2024-08-08 , B480+         ,         R831+ , R400+        
 2024-08-14 , B480+         , B1200+ , R400+        
 2024-08-30 , B480+         ,         R831+ , R400+        
 2024-09-13 , B480+         , B1200+ , R400+        
 2024-10-01 , B480+         ,         R831+ , R400+        
 2024-10-17 , B480+         , B1200+ , R400+        
 2024-10-31 , B480+         ,         R150+ , R831+
 2024-11-07 , B1200+ , R150+         , R400+        
 2024-11-09 , B480+ , R150+         , R400+        
 2024-11-16 , B480+         , B1200+ , R400+        
 2024-11-23 , B480+         ,         R831+ , R400+        
 2024-11-29 , B480+         , R150+  , R400+        
 2024-11-30 , B480+         , B1200+ , R831+
 2024-12-03 , B480+         ,         R150+ , R400+        
 2024-12-17 , B480+         , B1200+ , R400+        
 2024-12-21 , B480+         ,         R831+ , R400+        
 2024-12-31 , B480+         , B1200+ , R400+        
 2025-01-04 , B480+         , R150+  , R400+        
 2025-01-10 , B480+         , R831+  , R400+        
 2025-01-23 , B480+         , B1200+ , R400+        
 2025-01-25 , B480+         ,         R150+ , R400+        
 2025-03-06 , B480+         , R831+  , R400+        
 2025-03-08 , B480+         , R150+  , R400+        
 2025-03-14 , B480+         , R831+  , R400+        
 2025-03-18 , B480+         , R150+  , R400+        
 2025-04-08 , B480+         , R831+  , R400+        
 2025-04-09 , B480+         , R150+  , R400+        
 2025-04-16 , B480+         , R831+  , R400+        
 2025-04-22 , B480+         , R150+  , R400+        
 2025-05-01 , B480+         , R831+  , R400+        
 2025-05-07 , B480+         , R150+  , R400+        
 2025-05-20 , B480+         , R831+  , R400+        
 2025-05-28 , B480+         , R150+  , R400+        
 2025-06-17 , B480+         , R831+  , R400+        
 2025-06-25 , B480+         , R150+  , R400+        
 2025-06-28 , B480+         , R831+  , R400+        
 2025-07-03 , B480+         , B1200+ , R400+        
 2025-07-08 , B480+         , R150+ , R400+
 2025-07-12 , B480+         , R831+  , R400+        
 2025-08-28 , B480+         , R150+  , R400+        
 2025-09-06 , B480+         , R150+  , R400+
 2025-09-22 , B480+         , B1200+  , R400+
 2025-10-01 , B480+         , R831+  , R400+
 2025-12-02 , B480+         , R150+  , R400+
 2025-12-10 , B480+         , R831+  , R400+        
 2025-12-24 , B480+         , R150+  , R400+        
 2025-12-27 , B480+         , R831+ , R400+ 
 2026-01-23 , B480+         , B1200+ , R400+ 
