 2024-08-01 , R150+  , R400+         , B480+        
 2024-08-29 , B1200+ , R400+         , B480+        
 2024-09-03 , R150+ , R400+         , B480+        
 2024-09-24 , R831+  , R400+         , B480+        
 2024-10-03 , R150+  , R400+         , B480+        
 2024-10-17 , B1200+ , R400+         , B480+        
 2024-10-26 , R150+ , R400+         , B480+        
 2024-11-03 , R831+  , R400+         , B480+
 2024-12-01 , B1200+ , R400+         , B480+
 2024-12-17 , B1200+ , R400+         , B480+
 2024-12-26 ,         R831+ , R400+         , B480+        
 2024-12-30 , R150+  , R400+         , B480+        
 2025-01-04 , B1200+ , R400+         , B480+        
 2025-01-09 ,         R150+ , R400+         , B480+        
 2025-01-17 , R831+  , R400+         , B480+        
 2025-01-28 , R150+  , R400+         , B480+        
 2025-01-29 , R831+  , R400+         , B480+        
 2025-02-05 , R150+  , R400+         , B480+        
 2025-02-13 , R150+         , B1200+ , B480+        
 2025-02-15 , R150+         ,         R400+ , B480+        
 2025-03-04 , R831+  , R400+         , B480+        
 2025-03-18 , B1200+ , R400+         , B480+        
 2025-03-25 ,         R831+ , R400+         , B480+        
 2025-03-28 , B1200+ , R400+         , B480+        
 2025-04-10 ,         R831+ , R400+         , B480+        
 2025-04-24 , B1200+ , R400+         , B480+        
 2025-04-26 ,         R831+ , R400+         , B480+        
 2025-05-03 , B1200+ , R400+         , B480+        
 2025-05-09 ,         R831+ , R400+         , B480+        
 2025-05-13 , B1200+ , R400+         , B480+        
 2025-05-23 ,         R831+ , R400+         , B480+        
 2025-05-27 , B1200+ , R400+         , B480+        
 2025-05-31 ,         R831+ , R400+         , B480+        
 2025-06-05 , B1200+ , R400+         , B480+        
 2025-06-20 ,         R831+ , R400+         , B480+        
 2025-06-25 , R150+  , R400+         , B480+        
 2025-06-28 , R831+  , R400+         , B480+        
 2025-07-01 , R150+  , R400+         , B480+        
 2025-07-08 , B1200+ , R400+         , B480+        
 2025-07-15 ,         R150+ , R400+         , B480+        
 2025-07-19 , B1200+ , R400+         , B480+        
 2025-07-29 ,         R150+ , R400+         , B480+        
 2025-08-05 , R831+  , R400+         , B480+        
 2025-09-01 , B600+  , R400+         , B480+
 2025-09-23 , B1200+ , R400+         , B480+
 2025-10-04 , R150+  , R400+         , B480+        
 2025-11-08 , R831+  , R400+         , B480+        
 2025-11-14 , R150+  , R400+         , B480+        
 2025-12-03 , R831+  , R400+         , B480+        
 2025-12-30 , R150+  , R400+         , B480+
 2026-01-23 , B1200+ , R400+         , B480+        
